Cell Line Name;Tissue;Tissue sub-type;IC50;Cell Line Name;Primary Disease;TP53 log2(TPM+1) Expression Public 22Q4;BRAF log2(TPM+1) Expression Public 22Q4;ATOX1 log2(TPM+1) Expression Public 22Q4;SLC31A1 log2(TPM+1) Expression Public 22Q4;ATP7A log2(TPM+1) Expression Public 22Q4;ATP7B log2(TPM+1) Expression Public 22Q4;Cell Line Name;disulfiram (BRD:BRD-K32744045-001-31-2) AUC Drug sensitivity AUC (PRISM Repurposing Secondary Screen)
EW-3;bone;ewings_sarcoma;0.177317;LC1SQSF;Non-Small Cell Lung Cancer;4,83;3,71;7,31;4,84;3,70;1,48;LS513;0.673074109286923
NCI-H209;lung;lung_small_cell_carcinoma;0.269953;COGAR359;Embryonal Tumor;5,04;2,78;8,04;4,20;2,15;2,36;A101D;0.7310789577624258
SCC-3;blood;B_cell_lymphoma;0.281577;COLO794;Melanoma;5,87;2,70;10,18;5,00;2,37;1,54;253J;0.697965554209
EW-22;bone;ewings_sarcoma;0.454924;KKU213;Intraductal Papillary Neoplasm of the Bile Duct;5,64;2,94;7,67;4,60;2,32;1,34;HCC827;0.764942204301634
NAMALWA;blood;Burkitt_lymphoma;0.550352;RT4;Bladder Urothelial Carcinoma;5,36;3,74;6,38;4,32;2,51;2,07;ONCODG1;0.744044889530667
NUGC-3;digestive_system;stomach;0.582151;SNU283;Colorectal Adenocarcinoma;1,12;2,55;7,04;5,32;1,59;3,39;HS294T;0.7062545430680559
COR-L279;lung;lung_small_cell_carcinoma;0.613997;NCIH1395;Non-Small Cell Lung Cancer;3,07;1,97;6,07;4,59;1,06;2,35;NCIH1581;0.6353794951200511
SK-CO-1;digestive_system;large_intestine;0.624173;DEL;Non-Hodgkin Lymphoma;5,28;4,05;7,70;3,40;2,14;3,12;T24;0.781884395718225
A3-KAW;blood;B_cell_lymphoma;0.626391;SNU1196;Intraductal Papillary Neoplasm of the Bile Duct;7,22;3,22;6,78;4,14;0,88;1,58;MCF7;0.6669001431453541
MV-4-11;blood;leukemia;0.749721;LC1F;Non-Small Cell Lung Cancer;5,63;3,91;7,45;4,51;3,37;2,42;NCIH1693;0.738551141417803
